annotator,id,label,contextual_agreement,contextual_factors,contextual_explanation,ambiguous_referent_type,ambiguous_referent_other_text
joe,4,correct,Disagree,"c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; i. Ambiguous expression: One or both claims contain grammatical errors or unclear referents.",,,
joe,5,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,,
joe,6,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,,
joe,7,incorrect,,,,,
joe,1,correct,Agree,Agree,,,
joe,3,correct,Agree,Agree,,,
joe,2,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; f. Combined drug effects: The reported effect of a drug depends on its use in combination with other drugs or therapies.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,One or both abstracts lack route of administration information,
joe,8,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.",,,
joe,9,correct,Agree,Agree,,,
joe,11,incorrect,,,,,
joe,12,incorrect,,,,,
joe,13,incorrect,,,,,
joe,14,correct,Agree,Agree,,,
joe,15,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.",,,
joe,17,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.",,,
joe,10,correct,Disagree,"i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack population information,
joe,16,correct,Disagree,"c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack dosage information,
joe,18,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack dosage information,
joe,19,incorrect,,,,,
joe,20,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.; j. Other: None of the listed factors explain the contradiction.",Study design differences - standard RCT vs. cross-over trial,Other,Physiological context is unclear in claim 1 if the patients are studied under exercise as well.
joe,21,incorrect,,,,,
joe,22,correct,Disagree,"g. Evolving scientific evidence: The claims reflect different stages of scientific understanding.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack dosage information,
joe,23,correct,Disagree,"e. Route or mode of administration: The intervention is delivered via different routes (e.g., oral, intravenous, topical, sublingual, localized).; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack dosage information,
joe,24,correct,Agree,Agree,,,
joe,25,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,One or both abstracts lack dosage information,
joe,26,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; i. Ambiguous referent: One or both claims lack clear specification of species, population, dosage, or route of administration, resulting in uncertainty about the basis of comparison.",,Other,Claim 1 lacks exposure duration information
joe,27,incorrect,,,,,
joe,28,incorrect,,,,,
joe,29,correct,Disagree,"b. Population: The claims target different human subpopulations, such as differences in age, sex, genetic background, comorbidities, ethnicity, or risk profiles.; c. Physiological context: The intervention is evaluated under different transient physiological or environmental conditions (e.g., exertion state, hypoxia, fasting status, or acute stress), even within the same species and population.; d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.",,,
joe,30,correct,Disagree,"d. Dosage or exposure duration: The same intervention is administered at different doses, frequencies, or durations.; f. Combined drug effects: The reported effect of a drug depends on its use in combination with other drugs or therapies.",,,
